"ID","Species","Location","Moisture"
"4","Loblolly Pine","Central",12.69
"5","Loblolly Pine","Distal",13.2
"6","Loblolly Pine","Proximal",12.18
"10","Loblolly Pine","Central",12.03
"11","Loblolly Pine","Distal",11.87
"12","Loblolly Pine","Proximal",11.79
"16","Loblolly Pine","Central",12.11
"17","Loblolly Pine","Distal",12.66
"18","Loblolly Pine","Proximal",11.43
"22","Loblolly Pine","Central",17.67
"23","Loblolly Pine","Distal",14.81
"24","Loblolly Pine","Proximal",12.52
"28","Loblolly Pine","Central",12.78
"29","Loblolly Pine","Distal",13.34
"30","Loblolly Pine","Proximal",11.72
"34","Shortleaf Pine","Central",9.72
"35","Shortleaf Pine","Distal",9.92
"36","Shortleaf Pine","Proximal",9.09
"40","Shortleaf Pine","Central",7.84
"41","Shortleaf Pine","Distal",7.67
"42","Shortleaf Pine","Proximal",7.4
"46","Shortleaf Pine","Central",9.9
"47","Shortleaf Pine","Distal",9.93
"48","Shortleaf Pine","Proximal",9.75
"52","Shortleaf Pine","Central",7.16
"53","Shortleaf Pine","Distal",7.08
"54","Shortleaf Pine","Proximal",6.89
"58","Shortleaf Pine","Central",8.51
"59","Shortleaf Pine","Distal",8.75
"60","Shortleaf Pine","Proximal",8.74
"64","Yellow Poplar","Central",11.43
"65","Yellow Poplar","Distal",10.99
"66","Yellow Poplar","Proximal",9.96
"70","Yellow Poplar","Central",12.3
"71","Yellow Poplar","Distal",12.18
"72","Yellow Poplar","Proximal",11.46
"76","Yellow Poplar","Central",12.22
"77","Yellow Poplar","Distal",12.46
"78","Yellow Poplar","Proximal",11.12
"82","Yellow Poplar","Central",11.44
"83","Yellow Poplar","Distal",11.9
"84","Yellow Poplar","Proximal",10.83
"88","Yellow Poplar","Central",11.2
"89","Yellow Poplar","Distal",11.39
"90","Yellow Poplar","Proximal",9.93
"94","Red Gum","Central",11.01
"95","Red Gum","Distal",11.07
"96","Red Gum","Proximal",10.6
"100","Red Gum","Central",10.98
"101","Red Gum","Distal",11.56
"102","Red Gum","Proximal",12.98
"106","Red Gum","Central",8.84
"107","Red Gum","Distal",10.83
"108","Red Gum","Proximal",9.42
"112","Red Gum","Central",9.8
"113","Red Gum","Distal",9.81
"114","Red Gum","Proximal",9.05
"118","Red Gum","Central",10.17
"119","Red Gum","Distal",10.25
"120","Red Gum","Proximal",9.62
