rank,player,team_abbrev,year,hr_total,xhr,xhr_diff
10,"Henderson, Gunnar",BAL,2024,37,32.6,4.4
23,"Suárez, Eugenio",AZ,2024,30,30.9,-0.9
27,"Olson, Matt",ATL,2024,29,30.2,-1.2
28,"Langeliers, Shea",OAK,2024,29,27.2,1.8
34,"Chisholm Jr., Jazz",NYY,2024,26,25.3,0.7
47,"Nimmo, Brandon",NYM,2024,24,19.5,4.5
48,"DeJong, Paul",KC,2024,24,20.1,3.9
49,"Cowser, Colton",BAL,2024,24,21.9,2.1
61,"Doyle, Brenton",COL,2024,23,28.6,-5.6
71,"Duran, Jarren",BOS,2024,21,21.7,-0.7
72,"Turner, Trea",PHI,2024,21,19.5,1.5
77,"Morel, Christopher",TB,2024,21,21.6,-0.6
83,"Higashioka, Kyle",SD,2024,20,17.7,2.3
86,"Rodríguez, Julio",SEA,2024,20,19.1,0.9
87,"Adell, Jo",LAA,2024,20,17.9,2.1
91,"O'Hoppe, Logan",LAA,2024,20,17.2,2.8
118,"Gelof, Zack",OAK,2024,17,16.3,0.7
125,"Diaz, Yainer",HOU,2024,16,15.8,0.2
132,"India, Jonathan",CIN,2024,15,14,1
156,"Moniak, Mickey",LAA,2024,14,14.5,-0.5
157,"Robert Jr., Luis",CWS,2024,14,13.6,0.4
167,"France, Ty",CIN,2024,13,14.4,-1.4
182,"Friedl, TJ",CIN,2024,13,10.9,2.1
188,"Horwitz, Spencer",TOR,2024,12,12.3,-0.3
194,"Blackmon, Charlie",COL,2024,12,16,-4
217,"Yoshida, Masataka",BOS,2024,10,10.8,-0.8
229,"Grandal, Yasmani",PIT,2024,9,8.5,0.5
232,"Urshela, Gio",ATL,2024,9,8.7,0.3
248,"Kepler, Max",MIN,2024,8,9.8,-1.8
251,"Rojas, Josh",SEA,2024,8,7.8,0.2
255,"McCarthy, Jake",AZ,2024,8,8.5,-0.5
265,"Pillar, Kevin",LAA,2024,8,6.9,1.1
270,"Solano, Donovan",SD,2024,8,5.8,2.2
271,"Wisdom, Patrick",CHC,2024,8,8.8,-0.8
272,"Rizzo, Anthony",NYY,2024,8,7.5,0.5
288,"Freeman, Tyler",CLE,2024,7,6.1,0.9
300,"Caminero, Junior",TB,2024,6,7.1,-1.1
306,"Aranda, Jonathan",TB,2024,6,7.5,-1.5
319,"Biggio, Cavan",ATL,2024,5,2.7,2.3
333,"Calhoun, Willie",LAA,2024,5,3.8,1.2
336,"Rivera, Emmanuel",BAL,2024,5,5.3,-0.3
337,"Stewart, DJ",NYM,2024,5,5.6,-0.6
353,"Kjerstad, Heston",BAL,2024,4,2.8,1.2
370,"Acuña Jr., Ronald",ATL,2024,4,5.3,-1.3
384,"Wilson, Weston",PHI,2024,3,2.8,0.2
387,"Young, Jacob",WSH,2024,3,3.3,-0.3
408,"Rojas, Johan",PHI,2024,3,3,0
413,"Newman, Kevin",AZ,2024,3,3.7,-0.7
437,"Ruiz, Esteury",OAK,2024,2,2.3,-0.3
451,"Thaiss, Matt",LAA,2024,2,3.6,-1.6
462,"Lukes, Nathan",TOR,2024,1,1.4,-0.4
463,"Knizner, Andrew",TEX,2024,1,1.7,-0.7
480,"Dingler, Dillon",DET,2024,1,1.5,-0.5
501,"Reetz, Jakson",SF,2024,1,1,0
507,"Crawford, Brandon",STL,2024,1,1,0
517,"Noda, Ryan",OAK,2024,1,0.6,0.4
541,"Bae, Ji Hwan",PIT,2024,0,0.5,-0.5
559,"Williams, Alika",PIT,2024,0,0.1,-0.1
561,"Mastrobuoni, Miles",CHC,2024,0,0.1,-0.1
565,"Tucker, Cole",LAA,2024,0,0,0
569,"Reyes, Pablo",BOS,2024,0,0,0
574,"Hurtubise, Jacob",CIN,2024,0,0.9,-0.9
